TestID,SystemOutput
0,CC
1,FAM/SOCHX
2,GENHX
3,ALLERGY
4,MEDICATIONS
5,PASTMEDICALHX
6,ROS
7,PASTSURGICAL
8,PASTMEDICALHX
9,PASTMEDICALHX
10,PASTMEDICALHX
11,FAM/SOCHX
12,FAM/SOCHX
13,MEDICATIONS
14,FAM/SOCHX
15,PASTSURGICAL
16,CC
17,EDCOURSE
18,ROS
19,FAM/SOCHX
20,CC
21,PASTSURGICAL
22,PASTMEDICALHX
23,CC
24,FAM/SOCHX
25,GENHX
26,FAM/SOCHX
27,DISPOSITION
28,CC
29,FAM/SOCHX
30,ALLERGY
31,PASTMEDICALHX
32,CC
33,PASTSURGICAL
34,EXAM
35,FAM/SOCHX
36,GENHX
37,FAM/SOCHX
38,CC
39,GENHX
40,ROS
41,PLAN
42,CC
43,CC
44,PASTMEDICALHX
45,ROS
46,GENHX
47,CC
48,PASTMEDICALHX
49,FAM/SOCHX
50,GENHX
51,ASSESSMENT
52,PASTMEDICALHX
53,ROS
54,FAM/SOCHX
55,FAM/SOCHX
56,CC
57,CC
58,FAM/SOCHX
59,ALLERGY
60,FAM/SOCHX
61,GENHX
62,GENHX
63,CC
64,ASSESSMENT
65,CC
66,GENHX
67,GENHX
68,CC
69,GENHX
70,PLAN
71,FAM/SOCHX
72,CC
73,FAM/SOCHX
74,MEDICATIONS
75,ROS
76,PASTMEDICALHX
77,PASTMEDICALHX
78,GENHX
79,FAM/SOCHX
80,ASSESSMENT
81,GENHX
82,ROS
83,FAM/SOCHX
84,GENHX
85,CC
86,FAM/SOCHX
87,FAM/SOCHX
88,DISPOSITION
89,GENHX
90,FAM/SOCHX
91,EXAM
92,FAM/SOCHX
93,FAM/SOCHX
94,GENHX
95,MEDICATIONS
96,GENHX
97,ROS
98,GENHX
99,DIAGNOSIS
100,PASTSURGICAL
101,GENHX
102,PASTSURGICAL
103,FAM/SOCHX
104,PASTMEDICALHX
105,GENHX
106,FAM/SOCHX
107,GENHX
108,EXAM
109,MEDICATIONS
110,ALLERGY
111,ALLERGY
112,GENHX
113,FAM/SOCHX
114,DISPOSITION
115,MEDICATIONS
116,PASTSURGICAL
117,GENHX
118,FAM/SOCHX
119,FAM/SOCHX
120,GENHX
121,FAM/SOCHX
122,PASTMEDICALHX
123,ASSESSMENT
124,GENHX
125,GENHX
126,PASTSURGICAL
127,FAM/SOCHX
128,FAM/SOCHX
129,GENHX
130,ALLERGY
131,PASTMEDICALHX
132,CC
133,PLAN
134,FAM/SOCHX
135,GENHX
136,GENHX
137,PASTMEDICALHX
138,ROS
139,MEDICATIONS
140,GENHX
141,CC
142,FAM/SOCHX
143,GENHX
144,CC
145,GENHX
146,MEDICATIONS
147,GENHX
148,FAM/SOCHX
149,ASSESSMENT
150,FAM/SOCHX
151,PASTMEDICALHX
152,PASTMEDICALHX
153,ALLERGY
154,MEDICATIONS
155,PASTMEDICALHX
156,CC
157,MEDICATIONS
158,GENHX
159,GENHX
160,PASTSURGICAL
161,FAM/SOCHX
162,GENHX
163,MEDICATIONS
164,GENHX
165,GENHX
166,ROS
167,CC
168,EXAM
169,FAM/SOCHX
170,ROS
171,PASTMEDICALHX
172,PASTMEDICALHX
173,PASTSURGICAL
174,FAM/SOCHX
175,PASTMEDICALHX
176,PASTMEDICALHX
177,FAM/SOCHX
178,GENHX
179,CC
180,MEDICATIONS
181,CC
182,CC
183,PROCEDURES
184,FAM/SOCHX
185,GENHX
186,FAM/SOCHX
187,PASTSURGICAL
188,ALLERGY
189,FAM/SOCHX
190,CC
191,FAM/SOCHX
192,MEDICATIONS
193,PASTMEDICALHX
194,DISPOSITION
195,CC
196,ROS
197,DIAGNOSIS
198,PASTSURGICAL
199,PASTMEDICALHX
